"id","codigo","seccao","capitulo","recurso","botao","alt"
"17","M5A","1","5","m5a.jsx","Expressões compostas","Minijogo Expressões compostas"
"21","M5B","3","5","m5b.jsx","Identificadores e variáveis","Minijogo Identificadores e variáveis"
"34","M6A","3","6","m6a.jsx","Funções, parâmetros e argumentos","Minijogo Funções, parâmetros e argumentos"
"35","M6B","3","6","m6b.jsx","Estruturas de decisão","Estruturas de decisão"
"40","M7A","3","7","m7a.jsx","Estruturas de controlo","Estruturas de controlo"
"41","M7B","3","7","m7b.jsx","Deteção e correção de erros","Deteção e correção de erros"
"40","M8A","3","8","m8a.jsx","Cadeias de caracteres e seu processamento","Cadeias de caracteres e seu processamento"
"41","M8B","3","8","m8b.jsx","Cadeias de caracteres, métodos e algoritmos","Cadeias de caracteres, métodos e algoritmos"
